GCSobject	pretty_size	maxLength
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17467.TCGA-14-0736-02A-01R-2005-01.2.tar.gz	3.8GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17782.TCGA-26-5136-01B-01R-1850-01.4.tar.gz	4.2GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17503.TCGA-14-1825-01A-01R-1850-01.2.tar.gz	4.5GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17502.TCGA-14-0871-01A-01R-1849-01.2.tar.gz	4.5GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17473.TCGA-14-1034-01A-01R-1849-01.2.tar.gz	4.5GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17225.TCGA-06-0168-01A-01R-1849-01.2.tar.gz	4.9GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17633.TCGA-12-3650-01A-01R-1849-01.2.tar.gz	4.9GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17484.TCGA-14-0787-01A-01R-1849-01.2.tar.gz	5.0GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17224.TCGA-06-0139-01A-01R-1849-01.2.tar.gz	5.1GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17783.TCGA-28-5216-01A-01R-1850-01.4.tar.gz	5.1GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17678.TCGA-06-5417-01A-01R-1849-01.2.tar.gz	5.2GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17632.TCGA-28-1753-01A-01R-1850-01.2.tar.gz	5.2GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17512.TCGA-27-1837-01A-01R-1850-01.2.tar.gz	5.2GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17195.TCGA-06-0138-01A-02R-1849-01.2.tar.gz	5.3GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17796.TCGA-41-5651-01A-01R-1850-01.4.tar.gz	5.4GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17668.TCGA-32-1982-01A-01R-1850-01.2.tar.gz	5.5GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17500.TCGA-27-1831-01A-01R-1850-01.2.tar.gz	5.5GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17491.TCGA-16-1045-01B-01R-1850-01.2.tar.gz	5.5GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17488.TCGA-14-0790-01B-01R-1849-01.2.tar.gz	5.5GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17485.TCGA-14-1402-02A-01R-2005-01.2.tar.gz	5.5GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17474.TCGA-19-1389-02A-21R-2005-01.2.tar.gz	5.6GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17510.TCGA-02-2486-01A-01R-1849-01.2.tar.gz	5.6GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17813.TCGA-76-4927-01A-01R-1850-01.4.tar.gz	5.6GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17207.TCGA-06-0156-01A-03R-1849-01.2.tar.gz	5.6GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17471.TCGA-27-2519-01A-01R-1850-01.2.tar.gz	5.6GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17788.TCGA-28-5218-01A-01R-1850-01.4.tar.gz	5.6GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17196.TCGA-06-0178-01A-01R-1849-01.2.tar.gz	5.6GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17188.TCGA-02-0047-01A-01R-1849-01.2.tar.gz	5.6GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17669.TCGA-19-2620-01A-01R-1850-01.2.tar.gz	5.6GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17479.TCGA-14-1034-02B-01R-2005-01.2.tar.gz	5.7GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17203.TCGA-06-0211-02A-02R-2005-01.2.tar.gz	5.7GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17492.TCGA-27-1834-01A-01R-1850-01.2.tar.gz	5.7GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17506.TCGA-27-1835-01A-01R-1850-01.2.tar.gz	5.7GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17481.TCGA-06-2559-01A-01R-1849-01.2.tar.gz	5.7GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17495.TCGA-27-2526-01A-01R-1850-01.2.tar.gz	5.8GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17234.TCGA-06-0686-01A-01R-1849-01.2.tar.gz	5.8GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17812.TCGA-28-5213-01A-01R-1850-01.4.tar.gz	5.8GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17507.TCGA-28-1747-01C-01R-1850-01.2.tar.gz	5.8GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17784.TCGA-76-4929-01A-01R-1850-01.4.tar.gz	5.8GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17489.TCGA-27-2524-01A-01R-1850-01.2.tar.gz	5.8GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17214.TCGA-06-0190-01A-01R-1849-01.2.tar.gz	5.9GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17229.TCGA-15-0742-01A-01R-1850-01.2.tar.gz	5.9GB	76
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/GBM/RNA/RNA-Seq/BI/ILLUMINA/G17508.TCGA-16-0846-01A-01R-1850-01.2.tar.gz	5.9GB	76
