GCSobject	pretty_size	maxLength
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/OV/RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-23-1110-01A-01R-1564-13_rnaseq_fastq.tar	3.1 GB	75
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2820-03A-01T-0735-13_rnaseq_fastq.tar	3.7 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2856-03A-01T-0736-13_rnaseq_fastq.tar	3.7 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2843-03A-01T-0736-13_rnaseq_fastq.tar	3.8 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2896-03B-01T-0751-13_rnaseq_fastq.tar	3.9 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2991-03A-01T-0735-13_rnaseq_fastq.tar	3.9 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2899-03A-01T-0736-13_rnaseq_fastq.tar	3.9 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/OV/RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-61-1911-01A-01R-1567-13_rnaseq_fastq.tar	3.9 GB	75
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2994-03A-01T-0735-13_rnaseq_fastq.tar	3.9 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2870-03A-01T-0735-13_rnaseq_fastq.tar	4.0 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/STAD/RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-BR-8690-01A-11R-2402-13_rnaseq_fastq.tar	4.0 GB	75
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-3000-03A-01T-0736-13_rnaseq_fastq.tar	4.0 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-3001-03A-01T-0736-13_rnaseq_fastq.tar	4.0 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2891-03A-01T-0735-13_rnaseq_fastq.tar	4.0 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2830-03A-01T-0736-13_rnaseq_fastq.tar	4.0 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2952-03B-01T-0760-13_rnaseq_fastq.tar	4.0 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2825-03A-01T-0736-13_rnaseq_fastq.tar	4.0 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2885-03A-01T-0735-13_rnaseq_fastq.tar	4.0 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2900-03A-01T-0735-13_rnaseq_fastq.tar	4.1 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-3009-03A-01T-0736-13_rnaseq_fastq.tar	4.1 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2895-03A-01T-0735-13_rnaseq_fastq.tar	4.1 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2898-03A-01T-0735-13_rnaseq_fastq.tar	4.1 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2866-03A-01T-0736-13_rnaseq_fastq.tar	4.1 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2883-03A-01T-0734-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2861-03A-01T-0736-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2821-03A-01T-0735-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-3011-03A-01T-0736-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2817-03A-01T-0736-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2857-03A-01T-0736-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2851-03A-01T-0736-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2925-03A-01T-0735-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2884-03A-01T-0735-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2810-03A-01T-0736-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2836-03A-01T-0736-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/OV/RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-61-1910-01A-01R-1567-13_rnaseq_fastq.tar	4.2 GB	75
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2871-03A-01T-0735-13_rnaseq_fastq.tar	4.2 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2940-03A-01T-0736-13_rnaseq_fastq.tar	4.3 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2874-03A-01T-0735-13_rnaseq_fastq.tar	4.3 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2865-03A-01T-0736-13_rnaseq_fastq.tar	4.4 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-3002-03A-01T-0736-13_rnaseq_fastq.tar	4.4 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2986-03A-01T-0734-13_rnaseq_fastq.tar	4.4 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2858-03A-01T-0736-13_rnaseq_fastq.tar	4.4 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2893-03A-01T-0734-13_rnaseq_fastq.tar	4.4 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2889-03A-01T-0735-13_rnaseq_fastq.tar	4.4 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2979-03B-01T-0760-13_rnaseq_fastq.tar	4.4 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2892-03A-01T-0734-13_rnaseq_fastq.tar	4.4 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2880-03A-01T-0735-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2992-03A-01T-0735-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2862-03A-01T-0736-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-3008-03A-01T-0736-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2901-03A-01T-0735-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2878-03A-01T-0734-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2875-03A-01T-0735-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2950-03A-01T-0735-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2859-03A-01T-0736-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2942-03A-01T-0734-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-3007-03A-01T-0736-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2996-03A-01T-0735-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2890-03A-01T-0735-13_rnaseq_fastq.tar	4.5 GB	50
gs://5aa919de-0aa0-43ec-9ec3-288481102b6d/tcga/LAML/Total_RNA/RNA-Seq/BCCAGSC/ILLUMINA/TCGA-AB-2835-03A-01T-0736-13_rnaseq_fastq.tar	4.5 GB	50
